PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
456,0,155,1415,1750,287,0,0,35,0,34.3703786,45.9018647,
456,0,304,1402,1447,279,0,0,57,0,41.97599556,50.9386404,56.90110225
460,0,115,1310,1725,248,2.3,0,35.9,0,27.6135138,37.46152933,
460,0,115,1350,1725,248,13,0,0,0,37.3006516,46.03401427,
460,0,198,1228,1800,266,5.1,20,0,0,29.28779135,43.15790011,
460,0,245,1300,1600,310,6.5,0,50,0,30.17706551,40.51854178,43.08041571
460,80,0,1210,1800,279,5.4,0,7,0,15.71430717,24.03972987,26.03921027
460,100,0,1190,1850,282,6.9,17,0,0,25.28078667,34.84110267,
460,150,0,1591,1416,259,1.5,18.3,18.3,0,29.2682562,36.0940686,38.610656
460,200,0,1250,1750,244,6.6,0,80,0,27.15673595,36.21903613,40.63311893
460,200,0,1395,1550,247,13,55,68,0,41.713298,58.12547863,
